time_s,dt_s,lateral_error,forward_error
1768669408.6746595,0.03376483917236328,168.0,0.1899999976158142
1768669408.6791527,0.004493236541748047,168.0,0.1899999976158142
1768669408.726595,0.04744219779968262,168.0,0.18000000715255737
1768669408.729664,0.003069162368774414,168.0,0.18000000715255737
1768669408.7617717,0.03210759162902832,168.0,0.18000000715255737
1768669408.7634826,0.0017108917236328125,168.0,0.18000000715255737
1768669408.8082204,0.044737815856933594,168.0,0.18000000715255737
1768669408.8097908,0.0015704631805419922,168.0,0.18000000715255737
1768669408.8545175,0.04472661018371582,168.0,0.18000000715255737
1768669408.8550222,0.0005047321319580078,168.0,0.18000000715255737
1768669408.8883958,0.03337359428405762,168.0,0.18000000715255737
1768669408.8902435,0.0018477439880371094,156.0,0.18000000715255737
1768669408.951028,0.06078457832336426,156.0,0.18000000715255737
1768669408.9531991,0.002171039581298828,156.0,0.18000000715255737
1768669408.9936395,0.04044032096862793,156.0,0.18000000715255737
1768669408.9953928,0.0017533302307128906,156.0,0.18000000715255737
1768669409.0343761,0.03898334503173828,156.0,0.18000000715255737
1768669409.0377522,0.003376007080078125,156.0,0.18000000715255737
1768669409.0393062,0.0015540122985839844,156.0,0.18000000715255737
1768669409.0789597,0.03965353965759277,156.0,0.18000000715255737
1768669409.0817983,0.002838611602783203,156.0,0.18000000715255737
1768669409.134265,0.052466630935668945,156.0,0.18000000715255737
1768669409.1362064,0.0019414424896240234,150.0,0.18000000715255737
1768669409.1943803,0.05817389488220215,150.0,0.17000000178813934
1768669409.2002883,0.005908012390136719,150.0,0.17000000178813934
1768669409.2521605,0.05187225341796875,150.0,0.18000000715255737
1768669409.254921,0.0027604103088378906,150.0,0.18000000715255737
1768669409.3372831,0.08236217498779297,150.0,0.18000000715255737
1768669409.3390846,0.0018014907836914062,142.0,0.18000000715255737
1768669409.3950353,0.05595064163208008,142.0,0.18000000715255737
1768669409.3969352,0.0018999576568603516,137.0,0.18000000715255737
1768669409.442987,0.046051740646362305,137.0,0.18000000715255737
1768669409.4463649,0.0033779144287109375,137.0,0.18000000715255737
1768669409.5139637,0.06759881973266602,137.0,0.18000000715255737
1768669409.5189857,0.0050220489501953125,137.0,0.18000000715255737
1768669409.6143372,0.0953514575958252,137.0,0.18000000715255737
1768669409.6200573,0.0057201385498046875,132.0,0.18000000715255737
1768669409.6587086,0.038651227951049805,132.0,0.18000000715255737
1768669409.6606483,0.0019397735595703125,132.0,0.18000000715255737
1768669409.7499804,0.08933210372924805,132.0,0.18000000715255737
1768669409.7515028,0.0015223026275634766,127.0,0.18000000715255737
1768669409.7911391,0.03963637351989746,127.0,0.18000000715255737
1768669409.793263,0.0021238327026367188,127.0,0.18000000715255737
1768669409.8650634,0.07180047035217285,127.0,0.18000000715255737
1768669409.8680482,0.002984762191772461,120.0,0.18000000715255737
1768669410.0086763,0.14062809944152832,120.0,0.18000000715255737
1768669410.009197,0.0005207061767578125,120.0,0.18000000715255737
1768669410.0099313,0.0007343292236328125,120.0,0.18000000715255737
1768669410.0114381,0.001506805419921875,120.0,0.18000000715255737
1768669410.0178611,0.006422996520996094,120.0,0.18000000715255737
1768669410.0198915,0.0020303726196289062,120.0,0.18000000715255737
1768669410.0356233,0.0157318115234375,120.0,0.18000000715255737
1768669410.0396357,0.004012346267700195,120.0,0.18000000715255737
1768669410.08543,0.04579424858093262,120.0,0.18000000715255737
1768669410.0875285,0.002098560333251953,120.0,0.18000000715255737
1768669410.10325,0.015721559524536133,120.0,0.18000000715255737
1768669410.104377,0.001127004623413086,120.0,0.18000000715255737
1768669410.1283052,0.023928165435791016,120.0,0.18000000715255737
1768669410.1289217,0.0006165504455566406,120.0,0.1899999976158142
1768669410.1688454,0.039923667907714844,120.0,0.1899999976158142
1768669410.171136,0.002290487289428711,120.0,0.1899999976158142
1768669410.21542,0.04428410530090332,120.0,0.18000000715255737
1768669410.21854,0.003119945526123047,113.0,0.18000000715255737
1768669410.2760167,0.05747675895690918,113.0,0.18000000715255737
1768669410.2774215,0.0014047622680664062,113.0,0.18000000715255737
1768669410.3182015,0.040780067443847656,113.0,0.1899999976158142
1768669410.3230536,0.0048520565032958984,113.0,0.1899999976158142
1768669410.3552535,0.032199859619140625,113.0,0.1899999976158142
1768669410.3558462,0.0005927085876464844,113.0,0.1899999976158142
1768669410.3898025,0.033956289291381836,113.0,0.1899999976158142
1768669410.3903196,0.0005171298980712891,113.0,0.1899999976158142
1768669410.4140253,0.023705720901489258,113.0,0.18000000715255737
1768669410.416341,0.0023157596588134766,113.0,0.18000000715255737
1768669410.483607,0.06726598739624023,113.0,0.18000000715255737
1768669410.488495,0.004888057708740234,109.0,0.18000000715255737
1768669410.506443,0.017947912216186523,109.0,0.18000000715255737
1768669410.5086622,0.0022192001342773438,109.0,0.18000000715255737
1768669410.5408802,0.032217979431152344,109.0,0.18000000715255737
1768669410.5424237,0.0015435218811035156,109.0,0.18000000715255737
1768669410.5740314,0.031607627868652344,109.0,0.1899999976158142
1768669410.575543,0.0015115737915039062,109.0,0.1899999976158142
1768669410.5963268,0.02078390121459961,109.0,0.18000000715255737
1768669410.5979388,0.001611948013305664,109.0,0.18000000715255737
1768669410.6359155,0.037976741790771484,109.0,0.18000000715255737
1768669410.6375308,0.001615285873413086,104.0,0.18000000715255737
1768669410.6686916,0.031160831451416016,104.0,0.18000000715255737
1768669410.670347,0.0016553401947021484,104.0,0.18000000715255737
1768669410.701723,0.03137612342834473,104.0,0.18000000715255737
1768669410.7042534,0.002530336380004883,104.0,0.18000000715255737
1768669410.7274837,0.023230314254760742,104.0,0.18000000715255737
1768669410.7290678,0.0015840530395507812,104.0,0.18000000715255737
1768669410.7846947,0.055626869201660156,104.0,0.18000000715255737
1768669410.7868001,0.0021054744720458984,103.0,0.18000000715255737
1768669410.8135796,0.0267794132232666,103.0,0.18000000715255737
1768669410.8149,0.0013203620910644531,103.0,0.18000000715255737
1768669410.8538287,0.03892874717712402,103.0,0.18000000715255737
1768669410.856353,0.0025243759155273438,103.0,0.18000000715255737
1768669410.880449,0.024096012115478516,103.0,0.18000000715255737
1768669410.8827386,0.0022895336151123047,103.0,0.18000000715255737
1768669410.8946733,0.011934757232666016,103.0,0.18000000715255737
1768669410.8961406,0.0014672279357910156,103.0,0.18000000715255737
1768669410.936816,0.04067540168762207,103.0,0.18000000715255737
1768669410.9386637,0.0018477439880371094,103.0,0.18000000715255737
1768669410.9868243,0.048160552978515625,103.0,0.18000000715255737
1768669410.9970088,0.010184526443481445,103.0,0.18000000715255737
1768669411.046192,0.04918313026428223,103.0,0.18000000715255737
1768669411.0468516,0.0006597042083740234,103.0,0.18000000715255737
1768669411.0617373,0.014885663986206055,103.0,0.18000000715255737
1768669411.0631912,0.0014538764953613281,103.0,0.18000000715255737
1768669411.1043415,0.04115033149719238,103.0,0.18000000715255737
1768669411.105754,0.0014123916625976562,103.0,0.18000000715255737
1768669411.138958,0.033204078674316406,103.0,0.18000000715255737
1768669411.1408699,0.0019118785858154297,104.0,0.18000000715255737
1768669411.1666625,0.025792598724365234,104.0,0.18000000715255737
1768669411.16817,0.0015075206756591797,104.0,0.18000000715255737
1768669411.203588,0.035418033599853516,104.0,0.18000000715255737
1768669411.204966,0.0013780593872070312,104.0,0.18000000715255737
1768669411.2396061,0.03464007377624512,104.0,0.18000000715255737
1768669411.2410161,0.0014100074768066406,104.0,0.18000000715255737
1768669411.2991638,0.05814766883850098,104.0,0.18000000715255737
1768669411.303111,0.003947257995605469,104.0,0.18000000715255737
1768669411.349441,0.04632997512817383,104.0,0.18000000715255737
1768669411.3517442,0.0023031234741210938,104.0,0.18000000715255737
1768669411.4017217,0.04997754096984863,104.0,0.18000000715255737
1768669411.4032142,0.0014925003051757812,105.0,0.18000000715255737
1768669411.4783044,0.07509016990661621,105.0,0.18000000715255737
1768669411.4797902,0.0014858245849609375,105.0,0.18000000715255737
1768669411.5682113,0.08842110633850098,105.0,0.18000000715255737
1768669411.57045,0.002238750457763672,110.0,0.18000000715255737
1768669411.5837939,0.01334381103515625,110.0,0.18000000715255737
1768669411.610904,0.02711009979248047,110.0,0.18000000715255737
1768669411.6121175,0.0012135505676269531,110.0,0.18000000715255737
1768669411.631714,0.019596576690673828,110.0,0.18000000715255737
1768669411.6344626,0.0027484893798828125,110.0,0.18000000715255737
1768669411.678941,0.044478416442871094,110.0,0.18000000715255737
1768669411.6802204,0.0012793540954589844,108.0,0.18000000715255737
1768669411.7114255,0.031205177307128906,108.0,0.18000000715255737
1768669411.7127163,0.0012907981872558594,108.0,0.18000000715255737
1768669411.7302258,0.01750946044921875,108.0,0.18000000715255737
1768669411.731447,0.0012211799621582031,108.0,0.18000000715255737
1768669411.7726269,0.04117989540100098,108.0,0.18000000715255737
1768669411.780866,0.008239030838012695,108.0,0.18000000715255737
1768669411.8033662,0.022500276565551758,108.0,0.18000000715255737
1768669411.8047218,0.0013556480407714844,108.0,0.18000000715255737
1768669411.8383539,0.03363204002380371,108.0,0.18000000715255737
1768669411.8410573,0.002703428268432617,108.0,0.18000000715255737
1768669411.9077163,0.06665897369384766,108.0,0.18000000715255737
1768669411.909258,0.0015416145324707031,106.0,0.18000000715255737
1768669411.9559963,0.046738386154174805,106.0,0.18000000715255737
1768669411.9575987,0.0016024112701416016,106.0,0.18000000715255737
1768669412.0368369,0.0792381763458252,106.0,0.18000000715255737
1768669412.0397143,0.002877473831176758,101.0,0.18000000715255737
1768669412.0733821,0.033667802810668945,101.0,0.1899999976158142
1768669412.0764956,0.0031135082244873047,101.0,0.1899999976158142
1768669412.1647246,0.08822894096374512,101.0,0.18000000715255737
1768669412.1674056,0.0026810169219970703,95.0,0.18000000715255737
1768669412.2052145,0.037808895111083984,95.0,0.18000000715255737
1768669412.2097323,0.004517793655395508,95.0,0.18000000715255737
1768669412.256012,0.0462796688079834,95.0,0.18000000715255737
1768669412.2581828,0.0021708011627197266,95.0,0.18000000715255737
1768669412.3183675,0.06018471717834473,95.0,0.18000000715255737
1768669412.3275664,0.009198904037475586,90.0,0.18000000715255737
1768669412.363884,0.03631758689880371,90.0,0.1899999976158142
1768669412.3692687,0.005384683609008789,90.0,0.1899999976158142
1768669412.4394364,0.07016777992248535,90.0,0.18000000715255737
1768669412.4419758,0.002539396286010742,90.0,0.18000000715255737
1768669412.4784682,0.036492347717285156,90.0,0.1899999976158142
1768669412.4799047,0.001436471939086914,90.0,0.1899999976158142
1768669412.538954,0.059049367904663086,90.0,0.1899999976158142
1768669412.542066,0.0031120777130126953,90.0,0.1899999976158142
1768669412.599798,0.05773186683654785,90.0,0.1899999976158142
1768669412.6011913,0.0013933181762695312,90.0,0.1899999976158142
1768669412.680609,0.07941770553588867,90.0,0.18000000715255737
1768669412.6818194,0.0012104511260986328,90.0,0.18000000715255737
1768669412.6993546,0.01753520965576172,90.0,0.1899999976158142
1768669412.7005167,0.0011620521545410156,90.0,0.1899999976158142
1768669412.7380419,0.037525177001953125,90.0,0.1899999976158142
1768669412.739946,0.0019040107727050781,90.0,0.1899999976158142
1768669412.776389,0.03644299507141113,90.0,0.1899999976158142
1768669412.7787638,0.002374887466430664,90.0,0.1899999976158142
1768669412.8106732,0.03190946578979492,90.0,0.1899999976158142
1768669412.8173144,0.0066411495208740234,90.0,0.1899999976158142
1768669412.8653884,0.04807400703430176,90.0,0.18000000715255737
1768669412.8694687,0.004080295562744141,90.0,0.18000000715255737
1768669412.9004812,0.031012535095214844,90.0,0.1899999976158142
1768669412.914172,0.013690710067749023,90.0,0.1899999976158142
1768669412.9185846,0.004412651062011719,90.0,0.1899999976158142
1768669412.9950407,0.07645606994628906,90.0,0.20000000298023224
1768669412.9966927,0.0016520023345947266,90.0,0.20000000298023224
1768669413.0397885,0.04309582710266113,90.0,0.1899999976158142
1768669413.0431397,0.0033512115478515625,79.0,0.1899999976158142
1768669413.0660415,0.02290177345275879,79.0,0.1899999976158142
1768669413.0736709,0.00762939453125,77.0,0.1899999976158142
1768669413.103595,0.02992415428161621,77.0,0.20000000298023224
1768669413.1135223,0.00992727279663086,62.0,0.20000000298023224
1768669413.14797,0.034447669982910156,62.0,0.20000000298023224
1768669413.1505916,0.0026216506958007812,62.0,0.20000000298023224
1768669413.2120743,0.06148266792297363,62.0,0.20000000298023224
1768669413.224858,0.01278376579284668,62.0,0.20000000298023224
1768669413.3157485,0.09089040756225586,62.0,0.20000000298023224
1768669413.3203282,0.004579782485961914,62.0,0.20000000298023224
1768669413.3854256,0.06509733200073242,62.0,0.20000000298023224
1768669413.3919058,0.006480216979980469,62.0,0.20000000298023224
1768669413.4175513,0.02564549446105957,62.0,0.20000000298023224
1768669413.4188595,0.0013082027435302734,62.0,0.20000000298023224
1768669413.4313169,0.01245737075805664,62.0,0.20000000298023224
1768669413.4330966,0.001779794692993164,62.0,0.20000000298023224
1768669413.4606,0.027503252029418945,62.0,0.20999999344348907
1768669413.4632707,0.002670764923095703,62.0,0.20999999344348907
1768669413.494852,0.03158140182495117,62.0,0.20999999344348907
1768669413.4963915,0.001539468765258789,62.0,0.20999999344348907
1768669413.552867,0.05647540092468262,62.0,0.20999999344348907
1768669413.5548673,0.0020003318786621094,62.0,0.20999999344348907
1768669413.602605,0.047737836837768555,62.0,0.20000000298023224
1768669413.6045444,0.0019392967224121094,62.0,0.20000000298023224
1768669413.645864,0.04131960868835449,62.0,0.20000000298023224
1768669413.6469371,0.0010731220245361328,62.0,0.20000000298023224
1768669413.7020323,0.05509519577026367,62.0,0.20000000298023224
1768669413.7036345,0.0016021728515625,62.0,0.20000000298023224
1768669413.7743258,0.07069134712219238,62.0,0.20000000298023224
1768669413.776368,0.002042055130004883,62.0,0.20000000298023224
1768669413.8420115,0.0656435489654541,62.0,0.1899999976158142
1768669413.8440306,0.002019166946411133,62.0,0.1899999976158142
1768669413.9175582,0.07352757453918457,62.0,0.20000000298023224
1768669413.9189906,0.0014324188232421875,62.0,0.20000000298023224
1768669413.9713814,0.05239081382751465,62.0,0.20000000298023224
1768669413.973377,0.001995563507080078,62.0,0.20000000298023224
1768669414.017243,0.04386591911315918,62.0,0.20000000298023224
1768669414.0200837,0.002840757369995117,62.0,0.20000000298023224
1768669414.0516276,0.03154397010803223,62.0,0.20000000298023224
1768669414.0534787,0.0018510818481445312,62.0,0.20000000298023224
1768669414.097743,0.04426431655883789,62.0,0.20000000298023224
1768669414.102315,0.0045719146728515625,62.0,0.20000000298023224
1768669414.2257397,0.12342476844787598,62.0,0.20000000298023224
1768669414.2262359,0.0004961490631103516,62.0,0.20000000298023224
1768669414.226948,0.0007121562957763672,62.0,0.20000000298023224
1768669414.2272952,0.000347137451171875,62.0,0.20000000298023224
1768669414.25604,0.028744935989379883,62.0,0.20000000298023224
1768669414.2583747,0.0023345947265625,62.0,0.20000000298023224
1768669414.3320305,0.07365584373474121,62.0,0.20000000298023224
1768669414.3334124,0.0013818740844726562,62.0,0.20000000298023224
1768669414.3653243,0.03191184997558594,62.0,0.20000000298023224
1768669414.373391,0.008066654205322266,62.0,0.20000000298023224
1768669414.4186842,0.045293331146240234,62.0,0.20000000298023224
1768669414.4309206,0.012236356735229492,62.0,0.20000000298023224
1768669414.503943,0.07302236557006836,62.0,0.20999999344348907
1768669414.5049345,0.0009915828704833984,62.0,0.20999999344348907
